id,title,points,category,summary,deliverables,required_IA_agent,estimated_duration_hours,dependencies,risks_notes,proof_required,testing_required,tech_constraints,bonus_criteria,cross_links
1,DOCKERWARTS,50,Infra/DevOps/Big Data,"Monter une infra dockerisée complète pour un projet big data (ticketing, historisation, monitoring, datalake, pare-feu, haute dispo).",Infra conteneurisée + doc d’architecture; PRA détaillé (sauvegarde & reprise d’activité); dashboards de monitoring clairs.,"Copilouffle (setup Docker/Ansible/Terraform), GPTaigle (rédaction docs), Géminiard (schémas/revues)",20,Peut servir de base au n°5 (CI/CD) et n°2 (PRAcadabra).,"Cohérence techno, sécurité réseau, ressources serveurs limitées.",Démo de l’infra + feuillet de prompts + doc PRA.,Tests basiques de conteneurs et de HA (healthchecks).,Technos libres; monitoring pertinent; choix pare-feu justifié.,"Monitoring lisible, choix technos crédibles, HA robuste.","2,5"
2,PRACADABRA,25,Infra/DevOps,Mettre en place un PRA permettant l’installation complète du SI et le lancement des projets (sauvegardes + automatisation).,Backups multi-projets; scripts Ansible/Terraform; monitoring/HA; doc des choix.,"Copilouffle (Infra-as-Code), GPTaigle (doc), Géminiard (revue risques)",14,Doit être compatible avec au moins 1 autre défi (ex: 1 ou 5).,Non-viabilité => refus des points; cohérence pro exigée.,Démo du PRA live + prompts.,Tests de restauration et redéploiement.,Technos libres mais crédibles; doc obligatoire.,"Automatisation complète, RTO/RPO clairs.","1,5"
3,CAPE D’INVISIBILITÉ D’IGNOTUS PEVERELL,55,Cyber Red Team/OSINT,Intrusion éthique dans un système d’une école concurrente avec preuves de collecte (pas de données personnelles ni perturbation).,Rapport détaillé TTPs + preuves non-personnelles; journal d’actions.,"GPTaigle (rédaction/OSINT prompts), Géminiard (plan d’attaque simulé), Copilouffle (scripts de scan)",16,Idéalement complété par n°4 (défense).,Éthique & légal: strict; pas d’atteinte aux apprenants EPSI/WIS.,Rapport d’intrusion + preuves anonymisées + prompts.,N/A (tests de PoC contrôlés),Aucune perturbation autorisée; pas de données perso.,"Chaîne d’attaque innovante, preuve propre et vérifiable.",4
4,PROTEGO MAXIMA,5,Cyber Blue Team/DFIR,"Défenses aux intrusions: tous les coups sont permis côté défense, documenter chaque action.",Playbooks de défense; journaux; preuves d’arrêt/détection; doc au ‘conseil des ministres’.,"Copilouffle (règles SIEM/IDS), GPTaigle (doc & playbooks), Géminiard (revues/analyses)",10,Complémentaire au n°3.,Éviter faux positifs massifs et sur-blocage.,Documentation des actions + prompts.,Tests d’alerting & détection.,Solutions au choix; ingéniosité valorisée.,"Défenses créatives, visibilité complète du kill chain.",3
5,CI/CD EXPRESS – VOIE 9¾,25,DevOps/Qualité,"Mettre en place CI/CD complet (tests unitaires, non-régression, lint, build, test image Docker, SonarQube, déploiement).",Pipeline CI/CD + Sonar + logs + déploiement sur 1 autre défi.,"Copilouffle (CI YAML + fix), GPTaigle (doc), Géminiard (revue qualité)",12,Doit être implémenté sur ≥1 autre défi compatible.,Dette technique; flakiness des tests.,Démo pipeline vert sur projet cible + prompts.,TU + non-régression; coverage selon projet.,Lint PEP8/Airbnb; SonarQube requis.,"Infra réutilisable, cache build optimisé.","1,2,13,15,16,17"
6,SPOOKEPSI,45,Design/UI/UX,Maquettage Figma responsive d’un site vitrine EPSI version Poudlard (page campus complète + charte graphique).,"Figma + charte (couleurs, polices, boutons états, animations, pictos, logos, components).","GPTaigle (copy), Géminiard (génération d’assets/variantes), Copilouffle (design tokens)",10,Peut nourrir n°9 (loader patronus) et n°15 (web app).,Accessibilité & cohérence responsive.,Figma prêt pour dev + prompts.,N/A (revue design),Mobile-first; parité avec page campus.,"Systèmes de composants propres, micro-interactions.","9,15"
7,HARRY POTTER 9 ?,30,Vidéo/CGI,Vidéo de présentation EPSI version Poudlard ou cours HP générée intégralement en image de synthèse (30s–3min).,Vidéo CGI + pipeline IA/assets + doc.,"Géminiard (génération image/vidéo), GPTaigle (script), Copilouffle (outilage)",12,Peut se lier au n°6 pour brand assets.,Qualité CGI et cohérence stylistique.,Projection + prompts.,N/A,Durée 0:30–3:00; souci du détail si court.,"Storyboard fort, intégration sonore propre.",6
8,OÙ EST LA CHAMBRE DES SECRETS ?,100,3D/Modélisation/Animation,Générer les plans 3D de Poudlard avec la Chambre des Secrets en surbrillance + animation du plan.,Modèle 3D + animation; répartition surfaces/murs/portes; bonus bureaux/tableaux.,"Géminiard (3D/animation), GPTaigle (doc), Copilouffle (scripts export)",16,Peut alimenter n°7 (vidéo).,Lisibilité topologique; performance rendu.,Démo 3D animée + prompts.,N/A,Qualité segmentation surfaces/murs/portes.,"Éléments bonus ajoutés, caméra narrative.",7
9,LE PATRONUS D’EPSI,30,Motion/Branding/Web,"Créer l’animation 2D de chargement (loader) ‘patronus’ d’EPSI, utilisable sur web/logiciel.",Animation 2D + intégration (si réutilisée ailleurs = bonus).,"Géminiard (animation 2D), Copilouffle (intégration), GPTaigle (doc)",8,"Bonus si intégré à un autre défi (ex: 6,15).","Performance web, accessibilité.",Démo intégrée + prompts.,N/A,Discret mais évocateur; 2D.,Intégration cross-projet.,"6,15"
10,OCULUS REPARO,55,AMOA/Produit,Cahier des charges crédible pour transformer un outil de Poudlard (inventaire des fonctions + enquête utilisateurs).,CDC complet + résultats d’enquête + propositions d’amélioration.,"GPTaigle (rédaction/structuration), Géminiard (synthèse visuelle), Copilouffle (tableaux)",10,Peut cadrer n°15/16/17.,Parties prenantes mal couvertes.,Document + prompts.,N/A,Ton commercial valorisé.,"Personae, user journeys clairs.","15,16,17"
11,LE COURS DE FILIUS FLITWICK,45,Change Management,Scénario d’accompagnement au changement (courbe de Kubler-Ross + ADKAR/7S) pour une transformation digitale.,Plan de conduite du changement + carto parties prenantes.,"GPTaigle (méthodo & rédaction), Géminiard (schémas), Copilouffle (templates)",8,Complète n°10.,Oubli des stakeholders critiques.,Document + prompts.,N/A,Framework ADKAR/7S requis.,KPI adoption + plan com’ détaillé.,10
12,HARRY POTTER STARTER PACK,5,Fun/Content,Créer le starter pack d’un étudiant de l’école (original/drôle).,Pack visuel + courte note d’intention.,"Géminiard (visuels), GPTaigle (copy), Copilouffle (mise en page)",3,,Respect & bienveillance.,Remise pack + prompts.,N/A,Créativité attendue.,"Originalité, cohérence maison.",
13,ON N’AVAIT PAS COURS AVEC MCGONAGALL ?,35,App Desktop/API,Exécutable Windows récupérant l’emploi du temps via API wigorservices (username/cookies).,Executable + doc + TU (Coverage >80%).,"Copilouffle (code/TU), GPTaigle (doc), Géminiard (diagrammes)",12,Peut intégrer CI/CD (n°5).,Gestion credentials sécurisée.,Démo + prompts.,Coverage >80%.,Techs cohérentes et justifiées.,"UI claire, offline cache.",5
14,LA BOITE MAGIQUE DE SERVERUS ROGUE,25,Outil Cross‑platform/CMake,Logiciel Linux/Windows + CMake pour push automatique de toutes les sources & docs du Workshop vers GitHub.,App + scripts + CMake + doc usage.,"Copilouffle (CMake/CLI), GPTaigle (doc), Géminiard (schémas)",10,Peut s’intégrer au n°5 (CI/CD).,Gestion secrets Git; multi‑OS.,Démo multi‑OS + prompts.,TU basiques.,CMake requis; cross‑platform.,"Hooks intelligents, rollback.",5
15,HEDWIGE,80,Web App/Intégration/OAuth2,Web app pour envoyer/recevoir mails avec mail étudiant + connexion à services tiers (OAuth2.0 obligatoire).,Front + middleware documenté & testé unitairement.,"Copilouffle (code/tests), GPTaigle (doc/API), Géminiard (UI assets)",16,"Peut intégrer n°9 (loader), n°5 (CI/CD).","Sécurité OAuth2, quota API.",Démo + prompts.,TU requis.,Pertinence techno évaluée.,Connecteurs utiles; UX soignée.,"5,6,9"
16,“TU ES UN SORCIER HARRY !”,45,Mobile Cross‑platform,App mobile (Android & iOS) avec QCM de 20 questions pour définir un type de sorcier (≥4 types) + doc gamification.,App + doc gamification + résultats attendus.,"Copilouffle (code), GPTaigle (questions/UX copy), Géminiard (UI)",14,Peut utiliser CI/CD (n°5).,Qualité QCM; équilibrage.,Démo + prompts.,TU conseillés.,Cross‑platform (Flutter/React Native) au choix.,"Animations, feedbacks gamifiés.",5
17,TABLEAU DES SCORES DE POUDLARD,35,Mobile Natif + API + DB,"App mobile native (Kotlin ou Swift) pour compter les points des 4 écoles avec front, API et base de données (BaaS exclu).",App native + API + DB; TU (Coverage >80%).,"Copilouffle (code natif + API), GPTaigle (doc), Géminiard (diagrammes)",16,CI/CD (n°5) recommandé.,Exclusion BaaS; qualité TU.,Démo + prompts.,Coverage >80%.,Natif Kotlin/Swift uniquement; DB autohébergée.,Sync offline/online; UX claire.,5
18,LE CADET DE VOTRE ÉCOLE,25,IA/LLM Local,Déployer en local la plus petite version du LLM ‘IA de votre école’ (moins de paramètres).,Modèle local fonctionnel + doc d’installation.,"Copilouffle (scripts), GPTaigle (doc), Géminiard (diagrammes)",8,,Contraintes matérielles; licences modèles.,Démo locale + prompts.,Tests de latence & prompt‑réponses.,Choisir modèle à peu de paramètres.,Optimisations (quantization).,
19,PROFESSEUR DUMBLEDORE,65,IA/Reconnaissance vocale (NLU/NLP/NLG),IA de reconnaissance vocale pour ≥8 formules magiques des livres/films HP; création ingénieuse du dataset.,Modèle + dataset + doc.,"Copilouffle (code ML), GPTaigle (doc & prompts dataset), Géminiard (assets)",18,,Qualité dataset; bruit; accents.,Démo live + prompts.,Évaluation précision/recall.,NLU/NLP/NLG mentionnés.,Data augmentation; UI agréable.,
20,IS IT YOU HARRY?,30,IA/CNN Vision,CNN dans un Jupyter Notebook pour reconnaître ≥10 personnages HP (acteurs ou synthèse).,Notebook + dataset + métriques.,"Copilouffle (code Python), GPTaigle (doc), Géminiard (dataset synthétique)",12,Peut réutiliser le modèle pour n°21.,Biais dataset; balance classes.,Notebook exécutable + prompts.,Train/val/test; confusion matrix.,Au moins 10 personnages.,Data synthétique; augmentation.,21
21,LE NIMBUS 3000,25,Recherche/Bench ML,"Benchmark des optimizers (Adadelta, Adagrad, RMSProp, Adam, SGD, Adan, AdamW) sur un réseau existant.",Doc ‘format papier de recherche’ entièrement générée par IA + scripts d’expérience.,"GPTaigle (rédaction papier), Copilouffle (expériences), Géminiard (graphiques)",10,Peut s’appuyer sur n°20.,Rigueur expérimentale; reproductibilité.,Paper + logs d’expériences + prompts.,Validation stat’ basique.,Inclure les 7 optimizers listés.,W&B tracking; ablations.,20
22,LE PROCÈS DE J.K. ROWLING,100,DataViz/NLP,Dataviz sur occurrences d’événements/phrases dans les livres HP + tendances par livre; normaliser par pages.,Pipelines d’extraction + visualisations + doc méthode.,"Copilouffle (scripts NLP), GPTaigle (rédaction), Géminiard (charting)",16,,Nettoyage corpus; droits d’usage textes.,Démo viz + prompts.,Tests d’extraction; échantillons vérifiés.,Stats par livre; normalisation pages.,Dashboard interactif; insights pertinents.,
23,EASTER EGGS (Section Chaos),0,Cyber/LLM Red Team,Quatre défis ‘magie noire’: planter l’IA; retrouver des datas d’entraînement par reverse‑engineering; compte bloqué; fork bomb ‘Avada_kedavra.exe’.,Rapports détaillés par item + preuves + explications procédés.,"GPTaigle (rédaction), Copilouffle (PoC), Géminiard (schémas)",8,,Très sensible (sécurité/légal); réaliser en environnement isolé.,Preuves techniques + prompts.,Tests en sandbox uniquement.,À vos risques et périls; pédagogie d’abord.,Rigueur éthique et technique.,
